"type","id","plan_id","label","x","y","width","height","area_m2","path_or_viewbox"
"stand","green-upper-85","green-upper","85","602.5","449","82.5","43","18",""
"stand","green-upper-86","green-upper","86","685","449","82.5","43","18",""
"stand","green-upper-93","green-upper","93","767.5","449","41.6","43","9",""
"stand","green-upper-94","green-upper","94","809.1","449","41.6","43","9",""
"stand","green-upper-95","green-upper","95","850.7","449","41.6","43","9",""
"stand","green-upper-96","green-upper","96","892.3000000000001","449","41.6","43","9",""
"stand","green-upper-97","green-upper","97","934","449","82","43","18",""
"stand","green-upper-66","green-upper","66","189","533","41.4","41","9",""
"stand","green-upper-65","green-upper","65","230.4","533","41.4","41","9",""
"stand","green-upper-64","green-upper","64","271.8","533","41.4","41","9",""
"stand","green-upper-63","green-upper","63","313.2","533","41.4","41","9",""
"stand","green-upper-62","green-upper","62","354.59999999999997","533","41.4","41","9",""
"stand","green-upper-61","green-upper","61","395.99999999999994","533","41.4","41","9",""
"stand","green-upper-60","green-upper","60","437.3999999999999","533","41.4","41","9",""
"stand","green-upper-59","green-upper","59","478.7999999999999","533","41.4","41","9",""
"stand","green-upper-58","green-upper","58","520.1999999999999","533","41.4","41","9",""
"stand","green-upper-57","green-upper","57","561.5999999999999","533","41.4","41","9",""
"stand","green-upper-56","green-upper","56","602.9999999999999","533","41.4","41","9",""
"stand","green-upper-55","green-upper","55","644.3999999999999","533","41.4","41","9",""
"stand","green-upper-54","green-upper","54","685.7999999999998","533","41.4","41","9",""
"stand","green-upper-53","green-upper","53","727.1999999999998","533","41.4","41","9",""
"stand","green-upper-52","green-upper","52","768.5999999999998","533","41.4","41","9",""
"stand","green-upper-51","green-upper","51","809.9999999999998","533","41.4","41","9",""
"stand","green-upper-50","green-upper","50","851.3999999999997","533","41.4","41","9",""
"stand","green-upper-49","green-upper","49","892.7999999999997","533","41.4","41","9",""
"stand","green-upper-48","green-upper","48","934.2","533","27.3","41","6",""
"stand","green-upper-47","green-upper","47","961.5","533","27.3","41","6",""
"stand","green-upper-46","green-upper","46","988.8","533","27.3","41","6",""
"stand","entrance-1","entrance","1","274","510","76","74","121",""
"stand","entrance-2","entrance","2","375","552","27","46","18",""
"stand","entrance-3","entrance","3","224","470","25","61","21",""
"stand","entrance-4","entrance","4","382","479","34","51","50",""
"stand","entrance-5","entrance","5","224","279","23","59","21",""
"stand","entrance-E1","entrance","E1","364","630","127","63","",""
"stand","entrance-E2","entrance","E2","18","662","114","44","",""
"stand","food-court-G-1","food-court","G-1","77","284","65","65","36",""
"stand","food-court-G-2","food-court","G-2","142","294","64","64","36",""
"stand","food-court-G-5","food-court","G-5","210","209","32","49","15",""
"stand","food-court-G-4","food-court","G-4","210","258","32","55","15",""
"stand","food-court-G-3","food-court","G-3","210","313","32","55","15",""
"stand","food-court-G-6","food-court","G-6","252","213","48","32","15",""
"stand","food-court-G-7","food-court","G-7","393","235","49","33","15",""
"stand","food-court-G-8","food-court","G-8","447","247","32","52","15",""
"stand","food-court-G-9","food-court","G-9","447","299","32","52","15",""
"stand","food-court-G-10","food-court","G-10","447","351","32","52","15",""
"stand","food-court-G-25","food-court","G-25","479","334","131","64","72",""
"stand","food-court-G-23","food-court","G-23","57","406","31","32","9",""
"stand","food-court-G-24","food-court","G-24","447","427","32","32","9",""
"stand","food-court-G-22","food-court","G-22","313","338","52","63","30",""
"stand","food-court-G-21","food-court","G-21","286","539","57","59","30",""
"stand","food-court-G-11","food-court","G-11","447","499","32","32","",""
"stand","food-court-G-12","food-court","G-12","447","531","32","51","",""
"stand","food-court-G-13","food-court","G-13","447","582","32","74","",""
"stand","food-court-G-14","food-court","G-14","427","656","52","33","21",""
"stand","food-court-G-26","food-court","G-26","578","423","31","48","",""
"stand","food-court-G-27","food-court","G-27","578","471","31","43","",""
"stand","food-court-G-28","food-court","G-28","578","514","31","44","",""
"stand","food-court-G-29","food-court","G-29","481","515","31","43","12",""
"stand","food-court-G-20","food-court","G-20","34","507","34","50","15",""
"stand","food-court-G-19","food-court","G-19","107","527","61","32","18",""
"stand","food-court-G-18","food-court","G-18","163","574","36","52","15",""
"stand","food-court-G-17","food-court","G-17","156","657","54","32","15",""
"stand","food-court-G-16","food-court","G-16","210","657","54","32","15",""
"stand","food-court-G-15","food-court","G-15","370","657","56","32","15",""
"poi","red-lower-access","red-lower","Acceso","625","460","","","",""
"poi","red-upper-access","red-upper","Acceso","640","545","","","",""
"poi","yellow-lower-access","yellow-lower","Acceso","188","490","","","",""
"poi","yellow-upper-access","yellow-upper","Acceso","228","521","","","",""
"poi","green-upper-access","green-upper","Acceso","199","511","","","",""
"poi","entrance-access","entrance","Acceso","321","638","","","",""
"poi","food-court-access","food-court","Acceso","311","704","","","",""
"poi","red-lower-toilet-0","red-lower","Banos","708","228","","","",""
"poi","red-upper-toilet-0","red-upper","Banos","727","248","","","",""
"poi","yellow-lower-toilet-0","yellow-lower","Banos","98","244","","","",""
"poi","yellow-lower-toilet-1","yellow-lower","Banos","1010","247","","","",""
"poi","yellow-upper-toilet-0","yellow-upper","Banos","70","239","","","",""
"poi","yellow-upper-toilet-1","yellow-upper","Banos","1021","243","","","",""
"poi","green-upper-toilet-0","green-upper","Banos","89","268","","","",""
"poi","entrance-toilet-0","entrance","Banos","177","290","","","",""
"poi","food-court-toilet-0","food-court","Banos","144","273","","","",""
"poi","food-court-toilet-1","food-court","Banos","551","319","","","",""
"poi","main-stage","entrance","Escenario principal","305","287","","","",""
"poi","info-main","entrance","Informacion (ubicacion demo)","278","611","","","",""
"poi","health-aid","entrance","Primeros auxilios (ubicacion demo)","360","611","","","",""
"poi","exit-entrance","entrance","Salida","348","677","","","",""
"poi","food-tables","food-court","Patio de comidas","320","451","","","",""
"poi","exit-green","green-upper","Salida","62","639","","","",""
